Nombre,Comunidad Autónoma,Provincia,Municipio,Localidad,Direccion,Código Postal,Telefono,Zona Básica,Área de Salud,Modalidad Gestión,Dependencia de Gestión,Tipo de Centro,Acreditación Docente
LA MAMOLA,ANDALUCÍA,GRANADA,Polopos,LA MAMOLA,"PP MARITIMO, S/N",18750,600141755,MOTRIL,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
GUALCHOS,ANDALUCÍA,GRANADA,Gualchos,GUALCHOS,"PLAZA CONSTITUCION, Nº 11",18614,671535373,MOTRIL,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CASTELL DE FERRO,ANDALUCÍA,GRANADA,Gualchos,CASTELL DE FERRO,"CAMINO DEL TRANSFORMADOR, S/N",18740,600148403,MOTRIL,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MOTRIL - SAN ANTONIO,ANDALUCÍA,GRANADA,Motril,MOTRIL,"CAMINO DE SAN ANTONIO, S/N",18600,600141745,MOTRIL,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CAPILEIRA (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Capileira,CAPILEIRA,"CAMINO DE LA SIERRA, S/N",18413,600149333,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LANJARÓN,ANDALUCÍA,GRANADA,Lanjarón,LANJARÓN,"C/ HUERTOS, S/N",18420,600149393,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CÁÑAR,ANDALUCÍA,GRANADA,Cáñar,CÁÑAR,"C/ IGLESIA, S/N",18418,600149347,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
TREVÉLEZ,ANDALUCÍA,GRANADA,Trevélez,TREVÉLEZ,C/ PISTA DE LA IGLESIA Nº 9,18417,600140148,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
TORVIZCÓN,ANDALUCÍA,GRANADA,Torvizcón,TORVIZCÓN,"C/ ARROYO POZO, Nº 4",18430,600149349,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MECINA FONDALES (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,"Taha, La",MECINA FONDALES,"LG MECINA FONDALES, S/N",18414,697955987,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
PITRES,ANDALUCÍA,GRANADA,"Taha, La",PITRES,"PLAZA, Nº 1",18414,671538885,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
FERREIROLA (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,"Taha, La",FERREIROLA,"CRUZ ALTA DE FERREIROLA, S/N",18414,600149341,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SOPORTÚJAR (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Soportújar,SOPORTÚJAR,"CL CARRETERA, S/N",18410,600160062,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ALMEGÍJAR,ANDALUCÍA,GRANADA,Almegíjar,ALMEGÍJAR,"C/ SILENCIO, S/N",18438,600149329,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
PÓRTUGOS (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Pórtugos,PÓRTUGOS,CL SIERRA NEVADA,18415,600149339,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
RUBITE,ANDALUCÍA,GRANADA,Rubite,RUBITE,CTRA. S/N,18711,600149337,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
BUBIÓN,ANDALUCÍA,GRANADA,Bubión,BUBIÓN,"C/ CARRIL, S/N",18412,600149331,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
BUSQUÍSTAR,ANDALUCÍA,GRANADA,Busquístar,BUSQUÍSTAR,CTRA. S/N,16416,600149343,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
TABLONES (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Órgiva,LOS TABLONES,"PLAZA IGLESIA, S/N",18418,600160057,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ALCÁZAR (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Órgiva,ALCÁZAR,"CL ALCÁZAR, S/N",18710,958649544,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ÓRGIVA,ANDALUCÍA,GRANADA,Órgiva,ÓRGIVA,"C/ ALCALDE JESUS MORENO, S/N",18400,600140508,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
PAMPANEIRA (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Pampaneira,PAMPANEIRA,"CL RECINTO ESCOLAR, S/N",18411,600149327,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
NOTÁEZ (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Almegíjar,NOTÁEZ,"CL IGLESIA, S/N",18438,600164726,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CARATAUNAS (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Carataunas,CARATAUNAS,"CL LA ERA, S/N",18410,600149345,ÓRGIVA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
GUÁJAR FARAGÜIT (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,"Guájares, Los",GUÁJAR FARAGÜIT,"CL DR. ALCÁNTARA, S/N",18615,600141739,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CALETA - LA GUARDIA (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Salobreña,LA CALETA - GUARDIA,"CL CONSULTORIO DE LA CALETA, S/N",18680,600141737,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ITRABO,ANDALUCÍA,GRANADA,Ítrabo,ITRABO,"AVDA. SALOBREÑA, S/N",18612,600141143,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
GUÁJAR FONDÓN (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,"Guájares, Los",GUÁJAR FONDÓN,"CL GENERAL FRANCO, S/N",18615,600141743,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
GUÁJAR ALTO,ANDALUCÍA,GRANADA,"Guájares, Los",LOS GUÁJARES,"C/ REAL, S/N",18615,600141741,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LOBRES,ANDALUCÍA,GRANADA,Salobreña,LOBRES,"C/ ESPINAR, S/N",18610,600141750,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
SALOBREÑA,ANDALUCÍA,GRANADA,Salobreña,SALOBREÑA,"PLAZA JUAN CARLOS I, S/N",18680,600140543,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
MOLVÍZAR,ANDALUCÍA,GRANADA,Molvízar,MOLVÍZAR,"C/ PEÑUELAS BAJAS, S/N",18611,600141107,SALOBREÑA,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
NECHITE (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Válor,NECHITE,"LG NECHITE, S/N",18470,600160180,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MECINA ALFAHAR (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Válor,MECINA ALFAHAR,"CARRETERA, S/N",18470,600160452,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
JORAIRÁTAR (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Ugíjar,JORAIRÁTAR,"CL BARRIO ALTO, S/N",18492,600160232,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CHERÍN,ANDALUCÍA,GRANADA,Ugíjar,CHERÍN,"C/ PLACETILLA, S/N",18494,958761504,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
UGÍJAR,ANDALUCÍA,GRANADA,Ugíjar,UGÍJAR,"C/ FUENTE DEL ARCA, S/N",18480,600160078,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
VÁLOR,ANDALUCÍA,GRANADA,Válor,VÁLOR,"C/ PRADERA, S/N",18470,600161475,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
PICENA (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Nevada,PICENA,"CL NUEVA APRETURA DE PICENA, Nº5",18494,600160553,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MAIRENA (CONSULTORIO AUXILIAR),ANDALUCÍA,GRANADA,Nevada,MAIRENA,"PLAZA, S/N",18494,600160483,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
LAROLES,ANDALUCÍA,GRANADA,Nevada,LAROLES,"C/ ROSARIO, Nº 1",18494,600160183,UGÍJAR,DAP SUR DE GRANADA,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ALHAURÍN DE LA TORRE. DON JOSÉ MOLINA DÍAZ,ANDALUCÍA,MÁLAGA,Alhaurín de la Torre,ALHAURÍN DE LA TORRE,"C/ PEPE TOBALO, Nº1",29130,951770135,ALHAURÍN DE LA TORRE. DON JOSÉ MOLINA DÍAZ,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ALHAURÍN EL GRANDE,ANDALUCÍA,MÁLAGA,Alhaurín el Grande,ALHAURÍN EL GRANDE,"AV DE LA LIBERTAD, Nº 58",29120,951269621,ALHAURÍN EL GRANDE,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
CARRATRACA,ANDALUCÍA,MÁLAGA,Carratraca,CARRATRACA,"C/ CARRIL, Nº 9",29551,951504552,ÁLORA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ÁLORA,ANDALUCÍA,MÁLAGA,Álora,ÁLORA,"C/ FERIA, S/N",29500,951504552,ÁLORA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
ARDALES,ANDALUCÍA,MÁLAGA,Ardales,ARDALES,"C/ REAL, Nº 10",29550,951504552,ÁLORA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ALOZAINA,ANDALUCÍA,MÁLAGA,Alozaina,ALOZAINA,"URB. LA PASADILLA, S/N",29567,951504564,ALOZAINA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
TOLOX,ANDALUCÍA,MÁLAGA,Tolox,TOLOX,"C/ ENCINAS, Nº 62",29109,951504564,ALOZAINA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
YUNQUERA,ANDALUCÍA,MÁLAGA,Yunquera,YUNQUERA,"C/ CHORRITO, S/N",29410,951504564,ALOZAINA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CASARABONELA,ANDALUCÍA,MÁLAGA,Casarabonela,CASARABONELA,"AVDA. JUAN XXIII, S/N",29566,951504564,ALOZAINA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
CÁRTAMA,ANDALUCÍA,MÁLAGA,Cártama,CÁRTAMA,"CARRETERA DE COIN, S/N",29570,951500469,CÁRTAMA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
PIZARRA,ANDALUCÍA,MÁLAGA,Pizarra,PIZARRA,C/ DR. LOPEZ DE URBALDE,29560,951504616,CÁRTAMA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
CÁRTAMA - ESTACIÓN,ANDALUCÍA,MÁLAGA,Cártama,ESTACIÓN,"AVDA. MANUEL DE FALLA, S/N",29580,951505037,CÁRTAMA,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,NO
COÍN,ANDALUCÍA,MÁLAGA,Coín,COÍN,"CTRA. DE TOLOX, S/N",29100,951504601,COÍN,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CENTRO SALUD,SI
GUARO,ANDALUCÍA,MÁLAGA,Guaro,GUARO,"AVDA. ANDALUCÍA, Nº 35",29108,951504601,COÍN,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
MONDA,ANDALUCÍA,MÁLAGA,Monda,MONDA,"C/ SARGENTO MARTIN, Nº 13",29110,951504601,COÍN,DAP VALLE DEL GUADALHORCE,Pública Directa,SERVICIO ANDALUZ DE SALUD,CONSULTORIO LOCAL,NO
ALACANT / ALICANTE - CAMPOAMOR,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,PLAZA DE AMERICA,03010,965936401,D - 19 ZB - 01,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
ALACANT / ALICANTE - URBANOVA (verano),COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE/ALACANT,"MÚSICO JOSÉ MIRA FIGUEROA, Nº 2",03008,965919650,D - 19 ZB - 02,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALACANT / ALICANTE - BABEL,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ FERNANDO MADROÑAL, S/N",03007,965110642,D - 19 ZB - 02,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
ALACANT / ALICANTE - SAN GABRIEL,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ PEGO, ESQUINA CTRA. ELCHE/ELX",03008,965937433,D - 19 ZB - 02,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALACANT / ALICANTE - BENALÚA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE/ALACANT,"CL SAN AGATANGELO, Nº 40",03007,965933694,D - 19 ZB - 02,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
ALACANT / ALICANTE - REBOLLEDO,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,REBOLLEDO,"PASEO MAYOR, S/N",03113,965932540,D - 19 ZB - 03,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALACANT / ALICANTE - FLORIDA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ FERNANDO MADROÑAL, Nº 9-11",03007,965918521,D - 19 ZB - 03,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
ALACANT / ALICANTE - SAN BLAS,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ MAESTRO LATORRE, Nº 9",03005,965918221,D - 19 ZB - 04,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
ALACANT / ALICANTE - LOS ÁNGELES,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ ISLA DE CUBA, S/N",03009,965937271,D - 19 ZB - 05,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
ALACANT / ALICANTE - PARQUE LO MORANT,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"CL MAESTRO ALONSO, Nº 109",03010,965627871,D - 19 ZB - 06,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
ALACANT / ALICANTE - CIUDAD JARDÍN,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ DEL CLOT, S/N",03011,965918105,D - 19 ZB - 07,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
ALACANT / ALICANTE - VILLAFRANQUEZA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,ALICANTE,"C/ CASTELAR, Nº 40",03112,965932567,D - 19 ZB - 07,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
AGOST,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Agost,AGOST,"AVDA. DE ALCOY, S/N",3698,965692075,D - 19 ZB - 08,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
MONFORTE DEL CID,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Monforte del Cid,MONFORTE DEL CID,"C/ AGOST, Nº 52",03670,966908051,D - 19 ZB - 09,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
SAN VICENTE DEL RASPEIG - COLEGIO SANTA ISABEL,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,San Vicente del Raspeig/Sant Vicent del Raspeig,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,"C/ HAYGÓN, Nº 48",3690,965932552,D - 19 ZB - 10,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALACANT / ALICANTE - LA CAÑADA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alicante/Alacant,LA CAÑADA,"CTRA. LA ALCORAYA, Nº 118",03699,965932530,D - 19 ZB - 10,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
SAN VICENTE DEL RASPEIG I,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,San Vicente del Raspeig/Sant Vicent del Raspeig,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,"PTDA. CANASTELL, Nº 16",03690,965678951,D - 19 ZB - 10,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
SAN VICENTE DEL RASPEIG II,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,San Vicente del Raspeig/Sant Vicent del Raspeig,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,"AVDA. ALICANTE, Nº 78",03690,965677371,D - 19 ZB - 10,DEPARTAMENTO DE SALUD DE ALACANT - HOSPITAL GENERAL,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
ALCOI / ALCOY - PLAÇA DE DINS,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alcoy/Alcoi,ALCOY/ALCOI,"PLAZA ESPAÑA, Nº 2",3801,966527752,D - 15 ZB - 01,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
LA ZONA ALTA DE ALCOI / ALCOY,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alcoy/Alcoi,ALCOY/ALCOI,"C/ MÚSICO GONAZLO BLANES, Nº 9",3801,-,D - 15 ZB - 01,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALCOI / ALCOY - LA FÁBRICA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alcoy/Alcoi,ALCOY/ALCOI,"C/ ALCOLEJA, Nº 4",3802,966527702,D - 15 ZB - 02,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
ALCOI / ALCOY - BATOY,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alcoy/Alcoi,BATOY,"C/ SERRELLA, Nº 22",3802,965335664,D - 15 ZB - 02,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALCOI / ALCOY - LA BASSA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alcoy/Alcoi,ALCOY/ALCOI,"C/ LLUÍS VIVES, S/N",3804,966528753,D - 15 ZB - 03,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,SI
BANYERES DE MARIOLA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Banyeres de Mariola,BANYERES DE MARIOLA,"C/ LA PORTA, Nº 36",3450,966527603,D - 15 ZB - 04,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
BENIMASSOT,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Benimassot,BENIMASSOT,"PLAZA MAYOR, Nº 1",3812,966528151,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
BENASAU,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Benasau,BENASAU,"C/ MAYOR, Nº 46",3814,966528146,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
BENILLOBA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Benilloba,BENILLOBA,"C/ COMARCA, S/N",3810,966504035,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CENTRO SALUD,NO
BENIFALLIM,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Benifallim,BENIFALLIM,"PLAZA DEL SAGRAT COR DE JESÚS, Nº 1",03816,966528141,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
TOLLOS,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Tollos,TOLLOS,"C/ LLIDONER, Nº 1",3813,965511048,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
PENÀGUILA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Penàguila,PENÀGUILA,"C/ TERRAT DELS POBRES, Nº 3",3815,965533521,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
QUATRETONDETA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Quatretondeta,QUATRETONDETA,"C/ TRINQUET, Nº 15",3811,965533506,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
FACHECA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Facheca,FACHECA,"C/ SALAMANCA, Nº 2",3813,966528156,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
FAMORCA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Famorca,FAMORCA,"C/ SALAMANCA, Nº 2",3813,965533531,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
ALCOLEJA,COMUNIDAD VALENCIANA,ALICANTE/ALACANT,Alcoleja,ALCOLEJA,"C/ SANT ANTONI, Nº 3",3814,965533511,D - 15 ZB - 05,DEPARTAMENTO DE SALUD DE ALCOY,Pública Directa,AGÈNCIA VALENCIANA DE SALUT,CONSULTORIO LOCAL,NO
